t_over_T,t,mx,norm
1.466666666666666563e+00,9.215338450530058623e+00,-1.260461807250976562e-01,9.999999403953552246e-01
1.474999999999999867e+00,9.267698328089888804e+00,-1.005776673555374146e-01,1.000000000000000000e+00
1.483333333333333171e+00,9.320058205649718985e+00,-7.503701746463775635e-02,1.000000000000000000e+00
1.491666666666666696e+00,9.372418083209549167e+00,-4.944092035293579102e-02,1.000000000000000000e+00
1.500000000000000000e+00,9.424777960769379348e+00,-2.380601130425930023e-02,1.000000000000000000e+00
1.508333333333333304e+00,9.477137838329209529e+00,1.851084642112255096e-03,9.999999403953552246e-01
1.516666666666666385e+00,9.529497715889037934e+00,2.751374244689941406e-02,9.999999403953552246e-01
1.524999999999999911e+00,9.581857593448868116e+00,5.316537246108055115e-02,1.000000000000000000e+00
1.533333333333333215e+00,9.634217471008698297e+00,7.878942787647247314e-02,9.999999403953552246e-01
1.541666666666666519e+00,9.686577348568528478e+00,1.043694242835044861e-01,1.000000000000000000e+00
1.550000000000000044e+00,9.738937226128358660e+00,1.298888772726058960e-01,1.000000000000000000e+00
1.558333333333333348e+00,9.791297103688188841e+00,1.553314030170440674e-01,1.000000000000000000e+00
1.566666666666666430e+00,9.843656981248017246e+00,1.806807518005371094e-01,1.000000000000000000e+00
1.574999999999999956e+00,9.896016858807847427e+00,2.059206962585449219e-01,1.000000000000000000e+00
1.583333333333333259e+00,9.948376736367677609e+00,2.310350388288497925e-01,9.999999403953552246e-01
1.591666666666666563e+00,1.000073661392750779e+01,2.560079097747802734e-01,1.000000000000000000e+00
1.600000000000000089e+00,1.005309649148733797e+01,2.808233797550201416e-01,1.000000000000000000e+00
1.608333333333333393e+00,1.010545636904716815e+01,3.054656684398651123e-01,1.000000000000000000e+00
1.616666666666666474e+00,1.015781624660699656e+01,3.299193084239959717e-01,9.999999403953552246e-01
1.624999999999999778e+00,1.021017612416682674e+01,3.541688919067382812e-01,1.000000000000000000e+00
1.633333333333333304e+00,1.026253600172665692e+01,3.781991899013519287e-01,1.000000000000000000e+00
1.641666666666666607e+00,1.031489587928648710e+01,4.019953906536102295e-01,9.999999403953552246e-01
1.649999999999999911e+00,1.036725575684631728e+01,4.255424439907073975e-01,9.999998807907104492e-01
1.658333333333333437e+00,1.041961563440614746e+01,4.488262236118316650e-01,1.000000000000000000e+00
1.666666666666666519e+00,1.047197551196597587e+01,4.718325734138488770e-01,9.999999403953552246e-01
1.674999999999999822e+00,1.052433538952580605e+01,4.945474565029144287e-01,9.999999403953552246e-01
1.683333333333333348e+00,1.057669526708563623e+01,5.169577598571777344e-01,9.999999403953552246e-01
1.691666666666666652e+00,1.062905514464546641e+01,5.390504598617553711e-01,1.000000000000000000e+00
1.699999999999999956e+00,1.068141502220529659e+01,5.608129501342773438e-01,1.000000000000000000e+00
1.708333333333333481e+00,1.073377489976512678e+01,5.822336673736572266e-01,9.999999403953552246e-01
1.716666666666666563e+00,1.078613477732495518e+01,6.033014655113220215e-01,1.000000000000000000e+00
1.724999999999999867e+00,1.083849465488478536e+01,6.240060329437255859e-01,9.999998807907104492e-01
1.733333333333333171e+00,1.089085453244461554e+01,6.443382501602172852e-01,9.999999403953552246e-01
1.741666666666666696e+00,1.094321441000444572e+01,6.642900705337524414e-01,1.000000000000000000e+00
1.750000000000000000e+00,1.099557428756427591e+01,6.838548779487609863e-01,9.999999403953552246e-01
1.758333333333333304e+00,1.104793416512410609e+01,7.030285000801086426e-01,9.999999403953552246e-01
