t_over_T,t,sigma_x_magnus4,sigma_x_rk4,norm_magnus4,norm_rk4
3.140000000000000213e+01,1.972920186454390148e+02,-2.618865668773651123e-01,-2.680297791957855225e-01,1.000029444694519043e+00,9.987586736679077148e-01
3.141250000000000142e+01,1.973705584617787565e+02,-7.927173376083374023e-02,-7.842355221509933472e-02,1.000029325485229492e+00,9.987574219703674316e-01
3.142500000000000071e+01,1.974490982781184982e+02,-2.481502592563629150e-01,-2.417494058609008789e-01,1.000029325485229492e+00,9.987561702728271484e-01
3.143750000000000000e+01,1.975276380944582399e+02,-3.831137418746948242e-01,-3.834196329116821289e-01,1.000029325485229492e+00,9.987547993659973145e-01
3.144999999999999929e+01,1.976061779107979817e+02,-1.451598107814788818e-01,-1.517042666673660278e-01,1.000029444694519043e+00,9.987533688545227051e-01
3.146249999999999858e+01,1.976847177271377234e+02,7.960747182369232178e-02,7.965936511754989624e-02,1.000029444694519043e+00,9.987518191337585449e-01
3.147499999999999787e+01,1.977632575434774651e+02,-8.077211678028106689e-02,-7.414809614419937134e-02,1.000029325485229492e+00,9.987502694129943848e-01
3.148750000000000071e+01,1.978417973598172352e+02,-2.344604581594467163e-01,-2.344503700733184814e-01,1.000029444694519043e+00,9.987487792968750000e-01
3.150000000000000000e+01,1.979203371761569770e+02,3.460141131654381752e-03,-3.202203894034028053e-03,1.000029444694519043e+00,9.987471699714660645e-01
3.151250000000000284e+01,1.979988769924967187e+02,2.344590127468109131e-01,2.344500422477722168e-01,1.000029444694519043e+00,9.987455606460571289e-01
3.152500000000000213e+01,1.980774168088364604e+02,7.387410849332809448e-02,8.053231984376907349e-02,1.000029444694519043e+00,9.987440109252929688e-01
3.153750000000000142e+01,1.981559566251762021e+02,-7.967327535152435303e-02,-7.959768176078796387e-02,1.000029444694519043e+00,9.987424015998840332e-01
3.155000000000000071e+01,1.982344964415159438e+02,1.519911885261535645e-01,1.453803330659866333e-01,1.000029444694519043e+00,9.987409710884094238e-01
3.156250000000000000e+01,1.983130362578556856e+02,3.834423124790191650e-01,3.831145763397216797e-01,1.000029444694519043e+00,9.987396001815795898e-01
3.157499999999999929e+01,1.983915760741954273e+02,2.414499223232269287e-01,2.479547560214996338e-01,1.000029444694519043e+00,9.987381696701049805e-01
3.158749999999999858e+01,1.984701158905351690e+02,7.837554812431335449e-02,7.925954461097717285e-02,1.000029444694519043e+00,9.987368583679199219e-01
3.159999999999999787e+01,1.985486557068749107e+02,2.683287560939788818e-01,2.620662152767181396e-01,1.000029444694519043e+00,9.987356662750244141e-01
3.161250000000000071e+01,1.986271955232146809e+02,5.163449048995971680e-01,5.145357847213745117e-01,1.000029444694519043e+00,9.987344145774841309e-01
3.162500000000000000e+01,1.987057353395544226e+02,4.420876502990722656e-01,4.478263854980468750e-01,1.000029444694519043e+00,9.987334012985229492e-01
3.163749999999999929e+01,1.987842751558941643e+02,2.547053694725036621e-01,2.578059434890747070e-01,1.000029563903808594e+00,9.987325072288513184e-01
3.164999999999999858e+01,1.988628149722339060e+02,3.361147344112396240e-01,3.314693570137023926e-01,1.000029563903808594e+00,9.987316727638244629e-01
3.166250000000000142e+01,1.989413547885736477e+02,5.908250212669372559e-01,5.863045454025268555e-01,1.000029683113098145e+00,9.987309575080871582e-01
3.167500000000000071e+01,1.990198946049133895e+02,6.586358547210693359e-01,6.613037586212158203e-01,1.000029683113098145e+00,9.987303018569946289e-01
3.168750000000000000e+01,1.990984344212531312e+02,5.036243796348571777e-01,5.091031789779663086e-01,1.000029683113098145e+00,9.987297058105468750e-01
3.169999999999999929e+01,1.991769742375928729e+02,4.168088734149932861e-01,4.170920550823211670e-01,1.000029683113098145e+00,9.987292289733886719e-01
3.171249999999999858e+01,1.992555140539326146e+02,5.528953075408935547e-01,5.479396581649780273e-01,1.000029683113098145e+00,9.987288117408752441e-01
3.172500000000000142e+01,1.993340538702723848e+02,7.489846348762512207e-01,7.455518841743469238e-01,1.000029683113098145e+00,9.987284541130065918e-01
3.173750000000000071e+01,1.994125936866121265e+02,7.936664819717407227e-01,7.958029508590698242e-01,1.000029683113098145e+00,9.987282156944274902e-01
3.175000000000000000e+01,1.994911335029518682e+02,6.892888545989990234e-01,6.940935850143432617e-01,1.000029683113098145e+00,9.987279772758483887e-01
3.176249999999999929e+01,1.995696733192916099e+02,5.993279814720153809e-01,6.014768481254577637e-01,1.000029802322387695e+00,9.987277388572692871e-01
3.177499999999999858e+01,1.996482131356313516e+02,6.367610096931457520e-01,6.344351768493652344e-01,1.000029802322387695e+00,9.987275600433349609e-01
3.178749999999999787e+01,1.997267529519710934e+02,7.677069902420043945e-01,7.634979486465454102e-01,1.000029921531677246e+00,9.987275004386901855e-01
3.179999999999999716e+01,1.998052927683108351e+02,8.846743702888488770e-01,8.822471499443054199e-01,1.000029921531677246e+00,9.987273812294006348e-01
3.181250000000000000e+01,1.998838325846505768e+02,9.190238118171691895e-01,9.199246764183044434e-01,1.000029802322387695e+00,9.987273216247558594e-01
3.182499999999999929e+01,1.999623724009903185e+02,8.806185722351074219e-01,8.837680816650390625e-01,1.000029921531677246e+00,9.987272620201110840e-01
3.183750000000000213e+01,2.000409122173300887e+02,8.229848742485046387e-01,8.261989355087280273e-01,1.000029921531677246e+00,9.987272620201110840e-01
3.185000000000000142e+01,2.001194520336698304e+02,7.923292517662048340e-01,7.939772605895996094e-01,1.000029921531677246e+00,9.987272024154663086e-01
3.186250000000000071e+01,2.001979918500095721e+02,8.032078146934509277e-01,8.028807044029235840e-01,1.000029921531677246e+00,9.987272620201110840e-01
3.187500000000000000e+01,2.002765316663493138e+02,8.440142273902893066e-01,8.422511816024780273e-01,1.000029921531677246e+00,9.987273216247558594e-01
3.188749999999999929e+01,2.003550714826890555e+02,8.943220973014831543e-01,8.919885158538818359e-01,1.000029921531677246e+00,9.987272620201110840e-01
3.189999999999999858e+01,2.004336112990287972e+02,9.382728934288024902e-01,9.360777735710144043e-01,1.000029921531677246e+00,9.987272620201110840e-01
3.191249999999999787e+01,2.005121511153685390e+02,9.690221548080444336e-01,9.673362970352172852e-01,1.000029921531677246e+00,9.987272620201110840e-01
3.192499999999999716e+01,2.005906909317082807e+02,9.868817925453186035e-01,9.857756495475769043e-01,1.000029921531677246e+00,9.987272024154663086e-01
3.193749999999999645e+01,2.006692307480480224e+02,9.954982995986938477e-01,9.948713183403015137e-01,1.000029921531677246e+00,9.987272024154663086e-01
3.195000000000000284e+01,2.007477705643877925e+02,9.988493919372558594e-01,9.985465407371520996e-01,1.000029921531677246e+00,9.987272620201110840e-01
3.196250000000000213e+01,2.008263103807275343e+02,9.998200535774230957e-01,9.997018575668334961e-01,1.000029921531677246e+00,9.987273216247558594e-01
3.197500000000000142e+01,2.009048501970672760e+02,9.999899864196777344e-01,9.999579191207885742e-01,1.000029921531677246e+00,9.987273216247558594e-01
3.198750000000000071e+01,2.009833900134070177e+02,9.999954700469970703e-01,9.999924898147583008e-01,1.000029921531677246e+00,9.987272620201110840e-01
3.200000000000000000e+01,2.010619298297467594e+02,9.999939203262329102e-01,9.999946951866149902e-01,1.000029921531677246e+00,9.987272620201110840e-01
3.201250000000000284e+01,2.011404696460865011e+02,9.999915361404418945e-01,9.999962449073791504e-01,1.000029921531677246e+00,9.987272620201110840e-01
3.202499999999999858e+01,2.012190094624262429e+02,9.999560117721557617e-01,9.999897480010986328e-01,1.000029921531677246e+00,9.987272620201110840e-01
3.203750000000000142e+01,2.012975492787659846e+02,9.996967315673828125e-01,9.998167753219604492e-01,1.000029802322387695e+00,9.987272024154663086e-01
3.204999999999999716e+01,2.013760890951057263e+02,9.985347390174865723e-01,9.988392591476440430e-01,1.000029921531677246e+00,9.987272024154663086e-01
3.206250000000000000e+01,2.014546289114454964e+02,9.948468208312988281e-01,9.954754710197448730e-01,1.000029802322387695e+00,9.987272024154663086e-01
3.207500000000000284e+01,2.015331687277852382e+02,9.857317209243774414e-01,9.868392348289489746e-01,1.000029921531677246e+00,9.987271428108215332e-01
3.208749999999999858e+01,2.016117085441249799e+02,9.672675132751464844e-01,9.689537882804870605e-01,1.000029921531677246e+00,9.987271428108215332e-01
3.210000000000000142e+01,2.016902483604647216e+02,9.359842538833618164e-01,9.381784796714782715e-01,1.000029921531677246e+00,9.987272024154663086e-01
3.211249999999999716e+01,2.017687881768044633e+02,8.918812870979309082e-01,8.942143321037292480e-01,1.000029921531677246e+00,9.987271428108215332e-01
3.212500000000000000e+01,2.018473279931442050e+02,8.421572446823120117e-01,8.439210653305053711e-01,1.000030040740966797e+00,9.987272024154663086e-01
3.213749999999999574e+01,2.019258678094839468e+02,8.028370738029479980e-01,8.031679987907409668e-01,1.000030040740966797e+00,9.987270832061767578e-01
3.214999999999999858e+01,2.020044076258236885e+02,7.940126061439514160e-01,7.923726439476013184e-01,1.000030040740966797e+00,9.987271428108215332e-01
3.216250000000000142e+01,2.020829474421634302e+02,8.263070583343505859e-01,8.231049776077270508e-01,1.000030040740966797e+00,9.987270832061767578e-01
3.217500000000000426e+01,2.021614872585032003e+02,8.838926553726196289e-01,8.807544112205505371e-01,1.000030040740966797e+00,9.987270236015319824e-01
3.218750000000000000e+01,2.022400270748429421e+02,9.199753999710083008e-01,9.190807342529296875e-01,1.000030159950256348e+00,9.987269639968872070e-01
3.220000000000000284e+01,2.023185668911826838e+02,8.821648359298706055e-01,8.845904469490051270e-01,1.000030040740966797e+00,9.987270236015319824e-01
3.221249999999999858e+01,2.023971067075224255e+02,7.633251547813415527e-01,7.675274014472961426e-01,1.000030159950256348e+00,9.987269043922424316e-01
3.222500000000000142e+01,2.024756465238621672e+02,6.343109011650085449e-01,6.366337537765502930e-01,1.000030159950256348e+00,9.987268447875976562e-01
3.223749999999999716e+01,2.025541863402019089e+02,6.015246510505676270e-01,5.993821024894714355e-01,1.000030159950256348e+00,9.987267255783081055e-01
3.225000000000000000e+01,2.026327261565416507e+02,6.942731142044067383e-01,6.894801855087280273e-01,1.000030159950256348e+00,9.987266063690185547e-01
3.226249999999999574e+01,2.027112659728813924e+02,7.959076762199401855e-01,7.937802672386169434e-01,1.000030159950256348e+00,9.987263679504394531e-01
3.227499999999999858e+01,2.027898057892211341e+02,7.454321384429931641e-01,7.488701343536376953e-01,1.000030279159545898e+00,9.987261295318603516e-01
3.228750000000000142e+01,2.028683456055609042e+02,5.477237105369567871e-01,5.526800155639648438e-01,1.000030279159545898e+00,9.987256526947021484e-01
3.230000000000000426e+01,2.029468854219006460e+02,4.170630574226379395e-01,4.167762994766235352e-01,1.000030279159545898e+00,9.987252950668334961e-01
3.231250000000000000e+01,2.030254252382403877e+02,5.093114376068115234e-01,5.038260221481323242e-01,1.000030159950256348e+00,9.987247586250305176e-01
3.232500000000000284e+01,2.031039650545801294e+02,6.614369750022888184e-01,6.587733626365661621e-01,1.000030159950256348e+00,9.987242221832275391e-01
3.233749999999999858e+01,2.031825048709198711e+02,5.861316919326782227e-01,5.906777381896972656e-01,1.000030159950256348e+00,9.987235665321350098e-01
3.235000000000000142e+01,2.032610446872596128e+02,3.312469422817230225e-01,3.359116911888122559e-01,1.000030159950256348e+00,9.987228512763977051e-01
3.236249999999999716e+01,2.033395845035993545e+02,2.579059600830078125e-01,2.547776699066162109e-01,1.000030279159545898e+00,9.987220168113708496e-01
3.237500000000000000e+01,2.034181243199390963e+02,4.480882287025451660e-01,4.423048198223114014e-01,1.000030279159545898e+00,9.987210035324096680e-01
3.238749999999999574e+01,2.034966641362788380e+02,5.144854187965393066e-01,5.163221359252929688e-01,1.000030279159545898e+00,9.987198710441589355e-01
3.240000000000000568e+01,2.035752039526186081e+02,2.617669701576232910e-01,2.681088447570800781e-01,1.000030279159545898e+00,9.987187981605529785e-01
3.241250000000000142e+01,2.036537437689583498e+02,7.926186174154281616e-02,7.836113870143890381e-02,1.000030279159545898e+00,9.987176060676574707e-01
3.242500000000000426e+01,2.037322835852980916e+02,2.482713460922241211e-01,2.416564077138900757e-01,1.000030279159545898e+00,9.987162947654724121e-01
3.243750000000000000e+01,2.038108234016378333e+02,3.831333816051483154e-01,3.834706246852874756e-01,1.000030279159545898e+00,9.987149238586425781e-01
3.245000000000000284e+01,2.038893632179775750e+02,1.450386494398117065e-01,1.517957746982574463e-01,1.000030398368835449e+00,9.987134933471679688e-01
