sample_index,t_over_T,phase_fraction,a_plus_abs,a_minus_abs
1.110000000000000000e+02,2.775000000000000000e+01,7.500000000000000000e-01,9.191523790359497070e-01,3.939647972583770752e-01
1.120000000000000000e+02,2.800000000000000000e+01,0.000000000000000000e+00,1.000023603439331055e+00,1.543301739729940891e-03
1.130000000000000000e+02,2.825000000000000000e+01,2.500000000000000000e-01,9.203400015830993652e-01,3.911829888820648193e-01
1.140000000000000000e+02,2.850000000000000000e+01,5.000000000000000000e-01,7.060091495513916016e-01,7.082384228706359863e-01
1.150000000000000000e+02,2.875000000000000000e+01,7.500000000000000000e-01,3.940217792987823486e-01,9.191291928291320801e-01
1.160000000000000000e+02,2.900000000000000000e+01,0.000000000000000000e+00,1.600848394446074963e-03,1.000024676322937012e+00
1.170000000000000000e+02,2.925000000000000000e+01,2.500000000000000000e-01,3.911290466785430908e-01,9.203643798828125000e-01
1.180000000000000000e+02,2.950000000000000000e+01,5.000000000000000000e-01,7.082744836807250977e-01,7.059749960899353027e-01
1.190000000000000000e+02,2.975000000000000000e+01,7.500000000000000000e-01,9.191106557846069336e-01,3.940682411193847656e-01
1.200000000000000000e+02,3.000000000000000000e+01,0.000000000000000000e+00,1.000025987625122070e+00,1.654838211834430695e-03
1.210000000000000000e+02,3.025000000000000000e+01,2.500000000000000000e-01,9.203841686248779297e-01,3.910857737064361572e-01
1.220000000000000000e+02,3.050000000000000000e+01,5.000000000000000000e-01,7.059388160705566406e-01,7.083125114440917969e-01
1.230000000000000000e+02,3.075000000000000000e+01,7.500000000000000000e-01,3.941146731376647949e-01,9.190925955772399902e-01
1.240000000000000000e+02,3.100000000000000000e+01,0.000000000000000000e+00,1.703628106042742729e-03,1.000027418136596680e+00
1.250000000000000000e+02,3.125000000000000000e+01,2.500000000000000000e-01,3.910401761531829834e-01,9.204052090644836426e-01
1.260000000000000000e+02,3.150000000000000000e+01,5.000000000000000000e-01,7.083498835563659668e-01,7.059031128883361816e-01
1.270000000000000000e+02,3.175000000000000000e+01,7.500000000000000000e-01,9.190727472305297852e-01,3.941634595394134521e-01
1.280000000000000000e+02,3.200000000000000000e+01,0.000000000000000000e+00,1.000028371810913086e+00,1.761138322763144970e-03
1.290000000000000000e+02,3.225000000000000000e+01,2.500000000000000000e-01,9.204279780387878418e-01,3.909893333911895752e-01
1.300000000000000000e+02,3.250000000000000000e+01,5.000000000000000000e-01,7.058618068695068359e-01,7.083926200866699219e-01
1.310000000000000000e+02,3.275000000000000000e+01,7.500000000000000000e-01,3.942196965217590332e-01,9.190500378608703613e-01
1.320000000000000000e+02,3.300000000000000000e+01,0.000000000000000000e+00,1.819001627154648304e-03,1.000029325485229492e+00
1.330000000000000000e+02,3.325000000000000000e+01,2.500000000000000000e-01,3.909341990947723389e-01,9.204527735710144043e-01
