sample_index,t_over_T,phase_fraction,a_plus_abs,a_minus_abs
1.300000000000000000e+02,3.250000000000000000e+01,5.000000000000000000e-01,4.912605881690979004e-01,8.710491657257080078e-01
1.310000000000000000e+02,3.275000000000000000e+01,7.500000000000000000e-01,9.658451676368713379e-01,2.592439055442810059e-01
1.320000000000000000e+02,3.300000000000000000e+01,0.000000000000000000e+00,9.793835878372192383e-01,2.021676898002624512e-01
1.330000000000000000e+02,3.325000000000000000e+01,2.500000000000000000e-01,8.550893068313598633e-01,5.185427069664001465e-01
1.340000000000000000e+02,3.350000000000000000e+01,5.000000000000000000e-01,7.960205078125000000e-01,6.053236126899719238e-01
1.350000000000000000e+02,3.375000000000000000e+01,7.500000000000000000e-01,3.282390236854553223e-01,9.446295499801635742e-01
1.360000000000000000e+02,3.400000000000000000e+01,0.000000000000000000e+00,6.688955426216125488e-02,9.977933168411254883e-01
1.370000000000000000e+02,3.425000000000000000e+01,2.500000000000000000e-01,4.191900491714477539e-01,9.079347848892211914e-01
1.380000000000000000e+02,3.450000000000000000e+01,5.000000000000000000e-01,7.081090807914733887e-01,7.061505913734436035e-01
1.390000000000000000e+02,3.475000000000000000e+01,7.500000000000000000e-01,9.070187211036682129e-01,4.211715459823608398e-01
1.400000000000000000e+02,3.500000000000000000e+01,0.000000000000000000e+00,9.976063966751098633e-01,6.964293122291564941e-02
1.410000000000000000e+02,3.525000000000000000e+01,2.500000000000000000e-01,9.452232718467712402e-01,3.265302479267120361e-01
1.420000000000000000e+02,3.550000000000000000e+01,5.000000000000000000e-01,6.031241416931152344e-01,7.976914048194885254e-01
1.430000000000000000e+02,3.575000000000000000e+01,7.500000000000000000e-01,5.205588936805725098e-01,8.538676500320434570e-01
1.440000000000000000e+02,3.600000000000000000e+01,0.000000000000000000e+00,2.048770338296890259e-01,9.788241386413574219e-01
1.450000000000000000e+02,3.625000000000000000e+01,2.500000000000000000e-01,2.582858502864837646e-01,9.661054015159606934e-01
1.460000000000000000e+02,3.650000000000000000e+01,5.000000000000000000e-01,8.724068403244018555e-01,4.888543784618377686e-01
1.470000000000000000e+02,3.675000000000000000e+01,7.500000000000000000e-01,7.864586114883422852e-01,6.177021265029907227e-01
1.480000000000000000e+02,3.700000000000000000e+01,0.000000000000000000e+00,9.417988061904907227e-01,3.362852632999420166e-01
1.490000000000000000e+02,3.725000000000000000e+01,2.500000000000000000e-01,9.701051115989685059e-01,2.428345978260040283e-01
1.500000000000000000e+02,3.750000000000000000e+01,5.000000000000000000e-01,3.654736876487731934e-01,9.308612942695617676e-01
1.510000000000000000e+02,3.775000000000000000e+01,7.500000000000000000e-01,7.077718973159790039e-01,7.064939141273498535e-01
1.520000000000000000e+02,3.800000000000000000e+01,0.000000000000000000e+00,4.614297151565551758e-01,8.872189521789550781e-01
1.530000000000000000e+02,3.825000000000000000e+01,2.500000000000000000e-01,2.897279858589172363e-01,9.571480154991149902e-01
1.540000000000000000e+02,3.850000000000000000e+01,5.000000000000000000e-01,9.719665050506591797e-01,2.352784723043441772e-01
1.550000000000000000e+02,3.875000000000000000e+01,7.500000000000000000e-01,6.163008809089660645e-01,7.875585556030273438e-01
1.560000000000000000e+02,3.900000000000000000e+01,0.000000000000000000e+00,8.161014318466186523e-01,5.779743194580078125e-01
1.570000000000000000e+02,3.925000000000000000e+01,2.500000000000000000e-01,9.275074601173400879e-01,3.739068508148193359e-01
1.580000000000000000e+02,3.950000000000000000e+01,5.000000000000000000e-01,1.007002666592597961e-01,9.949556589126586914e-01
1.590000000000000000e+02,3.975000000000000000e+01,7.500000000000000000e-01,8.547760248184204102e-01,5.190723538398742676e-01
1.600000000000000000e+02,4.000000000000000000e+01,0.000000000000000000e+00,6.837427020072937012e-01,7.297767996788024902e-01
1.610000000000000000e+02,4.025000000000000000e+01,2.500000000000000000e-01,4.715844392776489258e-01,8.818653225898742676e-01
1.620000000000000000e+02,4.050000000000000000e+01,5.000000000000000000e-01,9.993999004364013672e-01,3.575924411416053772e-02
1.630000000000000000e+02,4.075000000000000000e+01,7.500000000000000000e-01,4.197137653827667236e-01,9.077002406120300293e-01
1.640000000000000000e+02,4.100000000000000000e+01,0.000000000000000000e+00,6.298416256904602051e-01,7.767748832702636719e-01
1.650000000000000000e+02,4.125000000000000000e+01,2.500000000000000000e-01,8.212703466415405273e-01,5.706091523170471191e-01
1.660000000000000000e+02,4.150000000000000000e+01,5.000000000000000000e-01,1.715551018714904785e-01,9.852154254913330078e-01
1.670000000000000000e+02,4.175000000000000000e+01,7.500000000000000000e-01,9.450784325599670410e-01,3.269680738449096680e-01
1.680000000000000000e+02,4.200000000000000000e+01,0.000000000000000000e+00,8.553280830383300781e-01,5.181658864021301270e-01
1.690000000000000000e+02,4.225000000000000000e+01,2.500000000000000000e-01,6.646328568458557129e-01,7.472252249717712402e-01
1.700000000000000000e+02,4.250000000000000000e+01,5.000000000000000000e-01,9.526686072349548340e-01,3.041470944881439209e-01
1.710000000000000000e+02,4.275000000000000000e+01,7.500000000000000000e-01,2.585444748401641846e-01,9.660431146621704102e-01
1.720000000000000000e+02,4.300000000000000000e+01,0.000000000000000000e+00,3.968446254730224609e-01,9.179317355155944824e-01
1.730000000000000000e+02,4.325000000000000000e+01,2.500000000000000000e-01,6.617249846458435059e-01,7.498028278350830078e-01
1.740000000000000000e+02,4.350000000000000000e+01,5.000000000000000000e-01,4.310706853866577148e-01,9.023653268814086914e-01
1.750000000000000000e+02,4.375000000000000000e+01,7.500000000000000000e-01,9.701387882232666016e-01,2.427266538143157959e-01
1.760000000000000000e+02,4.400000000000000000e+01,0.000000000000000000e+00,9.634325504302978516e-01,2.681099474430084229e-01
1.770000000000000000e+02,4.425000000000000000e+01,2.500000000000000000e-01,8.234431743621826172e-01,5.674737691879272461e-01
1.780000000000000000e+02,4.450000000000000000e+01,5.000000000000000000e-01,8.352363109588623047e-01,5.499693155288696289e-01
1.790000000000000000e+02,4.475000000000000000e+01,7.500000000000000000e-01,2.893859446048736572e-01,9.572579860687255859e-01
1.800000000000000000e+02,4.500000000000000000e+01,0.000000000000000000e+00,1.343795955181121826e-01,9.909739494323730469e-01
1.810000000000000000e+02,4.525000000000000000e+01,2.500000000000000000e-01,4.683701992034912109e-01,8.835818171501159668e-01
