t_over_T,t,sigma_x_magnus4,sigma_x_rk4,norm_magnus4,norm_rk4
2.235000000000000142e+01,1.404291916154637647e+02,5.175063014030456543e-01,5.202722549438476562e-01,1.000019550323486328e+00,9.990113377571105957e-01
2.236250000000000071e+01,1.405077314318035064e+02,2.622414529323577881e-01,2.613472342491149902e-01,1.000019550323486328e+00,9.990103840827941895e-01
2.237500000000000000e+01,1.405862712481432482e+02,2.643641233444213867e-01,2.608891129493713379e-01,1.000019550323486328e+00,9.990093708038330078e-01
2.238749999999999929e+01,1.406648110644829899e+02,4.719404280185699463e-01,4.718602001667022705e-01,1.000019550323486328e+00,9.990082383155822754e-01
2.239999999999999858e+01,1.407433508808227316e+02,4.355409741401672363e-01,4.387980997562408447e-01,1.000019669532775879e+00,9.990069866180419922e-01
2.241249999999999787e+01,1.408218906971624733e+02,1.427466273307800293e-01,1.428640484809875488e-01,1.000019669532775879e+00,9.990056753158569336e-01
2.242500000000000071e+01,1.409004305135022150e+02,8.573724329471588135e-02,8.213896304368972778e-02,1.000019669532775879e+00,9.990042448043823242e-01
2.243750000000000000e+01,1.409789703298419568e+02,3.129417896270751953e-01,3.124768137931823730e-01,1.000019669532775879e+00,9.990026354789733887e-01
2.244999999999999929e+01,1.410575101461816985e+02,2.987725436687469482e-01,3.022432327270507812e-01,1.000019669532775879e+00,9.990010261535644531e-01
2.246250000000000213e+01,1.411360499625214686e+02,-1.114039961248636246e-02,-1.088978443294763565e-02,1.000019788742065430e+00,9.989994168281555176e-01
2.247500000000000142e+01,1.412145897788612103e+02,-6.492069363594055176e-02,-6.856567412614822388e-02,1.000019788742065430e+00,9.989976286888122559e-01
2.248750000000000071e+01,1.412931295952009521e+02,1.728876680135726929e-01,1.727300137281417847e-01,1.000019788742065430e+00,9.989959001541137695e-01
2.250000000000000000e+01,1.413716694115406938e+02,1.343779563903808594e-01,1.380139738321304321e-01,1.000019788742065430e+00,9.989940524101257324e-01
2.251249999999999929e+01,1.414502092278804355e+02,-1.810869127511978149e-01,-1.811426281929016113e-01,1.000019788742065430e+00,9.989922046661376953e-01
2.252499999999999858e+01,1.415287490442201772e+02,-2.025467306375503540e-01,-2.061442285776138306e-01,1.000019788742065430e+00,9.989904165267944336e-01
2.253749999999999787e+01,1.416072888605599189e+02,3.292717412114143372e-02,3.323525190353393555e-02,1.000019907951354980e+00,9.989886283874511719e-01
2.254999999999999716e+01,1.416858286768996606e+02,-3.458263725042343140e-02,-3.089279308915138245e-02,1.000019788742065430e+00,9.989869594573974609e-01
2.256249999999999645e+01,1.417643684932394024e+02,-3.401153683662414551e-01,-3.403293192386627197e-01,1.000019907951354980e+00,9.989852905273437500e-01
2.257500000000000284e+01,1.418429083095791725e+02,-3.458531498908996582e-01,-3.493075072765350342e-01,1.000019788742065430e+00,9.989838600158691406e-01
2.258750000000000213e+01,1.419214481259189142e+02,-1.232102587819099426e-01,-1.228767111897468567e-01,1.000019788742065430e+00,9.989823698997497559e-01
2.260000000000000142e+01,1.419999879422586559e+02,-1.800958365201950073e-01,-1.764278262853622437e-01,1.000019907951354980e+00,9.989809989929199219e-01
2.261250000000000071e+01,1.420785277585983977e+02,-4.667524397373199463e-01,-4.664313197135925293e-01,1.000019907951354980e+00,9.989797472953796387e-01
2.262500000000000000e+01,1.421570675749381394e+02,-5.114573240280151367e-01,-5.146616697311401367e-01,1.000019907951354980e+00,9.989784955978393555e-01
2.263749999999999929e+01,1.422356073912778811e+02,-3.117317259311676025e-01,-3.122880458831787109e-01,1.000019907951354980e+00,9.989774823188781738e-01
2.264999999999999858e+01,1.423141472076176228e+02,-2.912439405918121338e-01,-2.879259884357452393e-01,1.000019907951354980e+00,9.989765286445617676e-01
2.266249999999999787e+01,1.423926870239573645e+02,-5.298991799354553223e-01,-5.280452966690063477e-01,1.000019907951354980e+00,9.989756941795349121e-01
2.267499999999999716e+01,1.424712268402971063e+02,-6.756126880645751953e-01,-6.777535080909729004e-01,1.000020027160644531e+00,9.989749193191528320e-01
2.268750000000000355e+01,1.425497666566368764e+02,-5.612825751304626465e-01,-5.634922981262207031e-01,1.000020027160644531e+00,9.989743828773498535e-01
2.270000000000000284e+01,1.426283064729766181e+02,-4.298122525215148926e-01,-4.284093677997589111e-01,1.000020027160644531e+00,9.989737868309020996e-01
2.271250000000000213e+01,1.427068462893163598e+02,-5.136616230010986328e-01,-5.104390382766723633e-01,1.000020027160644531e+00,9.989734292030334473e-01
2.272500000000000142e+01,1.427853861056561016e+02,-7.164929509162902832e-01,-7.154589295387268066e-01,1.000020027160644531e+00,9.989730715751647949e-01
2.273750000000000071e+01,1.428639259219958433e+02,-8.040503263473510742e-01,-8.059240579605102539e-01,1.000020027160644531e+00,9.989727139472961426e-01
2.275000000000000000e+01,1.429424657383355850e+02,-7.220733761787414551e-01,-7.240045070648193359e-01,1.000020027160644531e+00,9.989724755287170410e-01
2.276249999999999929e+01,1.430210055546753267e+02,-6.170949935913085938e-01,-6.165807843208312988e-01,1.000020027160644531e+00,9.989722967147827148e-01
2.277499999999999858e+01,1.430995453710150684e+02,-6.276873946189880371e-01,-6.251289844512939453e-01,1.000020027160644531e+00,9.989721775054931641e-01
2.278749999999999787e+01,1.431780851873548102e+02,-7.471922636032104492e-01,-7.448402643203735352e-01,1.000020027160644531e+00,9.989721179008483887e-01
2.280000000000000071e+01,1.432566250036945803e+02,-8.719970583915710449e-01,-8.714809417724609375e-01,1.000020027160644531e+00,9.989719986915588379e-01
2.281250000000000000e+01,1.433351648200343220e+02,-9.207583665847778320e-01,-9.219174385070800781e-01,1.000020027160644531e+00,9.989719390869140625e-01
2.282500000000000284e+01,1.434137046363740637e+02,-8.913043141365051270e-01,-8.928200602531433105e-01,1.000020027160644531e+00,9.989719390869140625e-01
2.283750000000000213e+01,1.434922444527138055e+02,-8.340891599655151367e-01,-8.347380161285400391e-01,1.000020027160644531e+00,9.989718198776245117e-01
2.285000000000000142e+01,1.435707842690535472e+02,-7.988345026969909668e-01,-7.982016801834106445e-01,1.000020146369934082e+00,9.989717602729797363e-01
2.286250000000000071e+01,1.436493240853932889e+02,-8.046469688415527344e-01,-8.030632734298706055e-01,1.000020027160644531e+00,9.989718198776245117e-01
